TIME,demand,solar,wind
0:00,"2,497",0,6
1:00,"2,361",0,6
2:00,"2,336",0,6
3:00,"2,367",0,6
4:00,"2,397",0,6
5:00,"2,435",27,5
6:00,"2,626",146,4
7:00,"2,908",313,2
8:00,"3,219",449,2
9:00,"3,483",540,2
10:00,"3,566",598,1
11:00,"3,613",638,2
12:00,"3,455",643,2
13:00,"3,646",611,3
14:00,"3,663",521,4
15:00,"3,634",389,5
16:00,"3,600",220,4
17:00,"3,455",63,5
18:00,"3,418",0,5
19:00,"3,353",0,5
20:00,"3,161",0,4
21:00,"2,968",0,4
22:00,"2,893",0,3
23:00,"2,729",0,4
0:00,"2,517",0,4
1:00,"2,378",0,3
2:00,"2,338",0,3
3:00,"2,345",0,3
4:00,"2,343",0,2
5:00,"2,304",14,3
6:00,"2,369",97,4
7:00,"2,564",238,6
8:00,"2,742",317,7
9:00,"3,009",434,9
10:00,"3,076",498,11
11:00,"3,115",587,10
12:00,"3,050",567,10
13:00,"3,110",561,10
14:00,"3,073",482,10
15:00,"3,021",361,10
16:00,"3,004",197,10
17:00,"2,952",71,10
18:00,"2,993",3,11
19:00,"3,017",0,12
20:00,"2,895",0,13
21:00,"2,737",0,12
22:00,"2,631",0,12
23:00,"2,475",0,13
0:00,"2,295",0,15
1:00,"2,172",0,14
2:00,"2,152",0,12
3:00,"2,186",0,11
4:00,"2,186",0,9
5:00,"2,165",20,7
6:00,"2,207",120,6
7:00,"2,323",254,5
8:00,"2,483",379,4
9:00,"2,637",491,4
10:00,"2,675",540,4
11:00,"2,707",607,4
12:00,"2,711",609,3
13:00,"2,699",557,3
